"political_party","total_votes","pp_valid_votes","pp_casting_votes","department","province","district"
"ACCION POPULAR","141","18.312%","10.714%","SAN MARTIN","HUALLAGA","SACANCHE"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","46","5.974%","3.495%","SAN MARTIN","HUALLAGA","SACANCHE"
"PODEMOS PERU","29","3.766%","2.204%","SAN MARTIN","HUALLAGA","SACANCHE"
"JUNTOS POR EL PERU","34","4.416%","2.584%","SAN MARTIN","HUALLAGA","SACANCHE"
"PARTIDO POPULAR CRISTIANO - PPC","1","0.130%","0.076%","SAN MARTIN","HUALLAGA","SACANCHE"
"FUERZA POPULAR","78","10.130%","5.927%","SAN MARTIN","HUALLAGA","SACANCHE"
"UNION POR EL PERU","11","1.429%","0.836%","SAN MARTIN","HUALLAGA","SACANCHE"
"RENOVACION POPULAR","30","3.896%","2.280%","SAN MARTIN","HUALLAGA","SACANCHE"
"RENACIMIENTO UNIDO NACIONAL","11","1.429%","0.836%","SAN MARTIN","HUALLAGA","SACANCHE"
"PARTIDO DEMOCRATICO SOMOS PERU","17","2.208%","1.292%","SAN MARTIN","HUALLAGA","SACANCHE"
"PARTIDO POLITICO NACIONAL PERU LIBRE","158","20.519%","12.006%","SAN MARTIN","HUALLAGA","SACANCHE"
"DEMOCRACIA DIRECTA","1","0.130%","0.076%","SAN MARTIN","HUALLAGA","SACANCHE"
"ALIANZA PARA EL PROGRESO","107","13.896%","8.131%","SAN MARTIN","HUALLAGA","SACANCHE"
"PARTIDO NACIONALISTA PERUANO","239","5.319%","3.437%","SAN MARTIN","HUALLAGA","SAPOSOA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","13","0.289%","0.187%","SAN MARTIN","HUALLAGA","SAPOSOA"
"PARTIDO MORADO","47","1.046%","0.676%","SAN MARTIN","HUALLAGA","SAPOSOA"
"PERU PATRIA SEGURA","12","0.267%","0.173%","SAN MARTIN","HUALLAGA","SAPOSOA"
"VICTORIA NACIONAL","318","7.078%","4.573%","SAN MARTIN","HUALLAGA","SAPOSOA"
"ACCION POPULAR","623","13.866%","8.959%","SAN MARTIN","HUALLAGA","SAPOSOA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","424","9.437%","6.097%","SAN MARTIN","HUALLAGA","SAPOSOA"
"PODEMOS PERU","123","2.738%","1.769%","SAN MARTIN","HUALLAGA","SAPOSOA"
"JUNTOS POR EL PERU","335","7.456%","4.817%","SAN MARTIN","HUALLAGA","SAPOSOA"
"PARTIDO POPULAR CRISTIANO - PPC","21","0.467%","0.302%","SAN MARTIN","HUALLAGA","SAPOSOA"
"FUERZA POPULAR","584","12.998%","8.398%","SAN MARTIN","HUALLAGA","SAPOSOA"
"UNION POR EL PERU","23","0.512%","0.331%","SAN MARTIN","HUALLAGA","SAPOSOA"
"RENOVACION POPULAR","251","5.586%","3.609%","SAN MARTIN","HUALLAGA","SAPOSOA"
"RENACIMIENTO UNIDO NACIONAL","17","0.378%","0.244%","SAN MARTIN","HUALLAGA","SAPOSOA"
"PARTIDO DEMOCRATICO SOMOS PERU","51","1.135%","0.733%","SAN MARTIN","HUALLAGA","SAPOSOA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","524","11.663%","7.535%","SAN MARTIN","HUALLAGA","SAPOSOA"
"DEMOCRACIA DIRECTA","9","0.200%","0.129%","SAN MARTIN","HUALLAGA","SAPOSOA"
"ALIANZA PARA EL PROGRESO","879","19.564%","12.640%","SAN MARTIN","HUALLAGA","SAPOSOA"
"PARTIDO NACIONALISTA PERUANO","13","3.412%","2.421%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","0","0.000%","0.000%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"PARTIDO MORADO","6","1.575%","1.117%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"PERU PATRIA SEGURA","2","0.525%","0.372%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"VICTORIA NACIONAL","42","11.024%","7.821%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"ACCION POPULAR","62","16.273%","11.546%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","13","3.412%","2.421%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"PODEMOS PERU","7","1.837%","1.304%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"JUNTOS POR EL PERU","32","8.399%","5.959%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"PARTIDO POPULAR CRISTIANO - PPC","0","0.000%","0.000%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"FUERZA POPULAR","32","8.399%","5.959%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"UNION POR EL PERU","1","0.262%","0.186%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"RENOVACION POPULAR","11","2.887%","2.048%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"RENACIMIENTO UNIDO NACIONAL","3","0.787%","0.559%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"PARTIDO DEMOCRATICO SOMOS PERU","4","1.050%","0.745%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","45","11.811%","8.380%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"ALIANZA PARA EL PROGRESO","108","28.346%","20.112%","SAN MARTIN","HUALLAGA","TINGO DE SAPOSOA"
"PARTIDO NACIONALISTA PERUANO","305","6.395%","4.201%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","13","0.273%","0.179%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"PARTIDO MORADO","30","0.629%","0.413%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"PERU PATRIA SEGURA","13","0.273%","0.179%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"VICTORIA NACIONAL","115","2.411%","1.584%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"ACCION POPULAR","233","4.886%","3.209%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","117","2.453%","1.612%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"PODEMOS PERU","58","1.216%","0.799%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"JUNTOS POR EL PERU","147","3.082%","2.025%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"PARTIDO POPULAR CRISTIANO - PPC","7","0.147%","0.096%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"FUERZA POPULAR","834","17.488%","11.488%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"UNION POR EL PERU","50","1.048%","0.689%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"RENOVACION POPULAR","261","5.473%","3.595%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"RENACIMIENTO UNIDO NACIONAL","38","0.797%","0.523%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"PARTIDO DEMOCRATICO SOMOS PERU","46","0.965%","0.634%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"PARTIDO POLITICO NACIONAL PERU LIBRE","2,225","46.655%","30.647%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"DEMOCRACIA DIRECTA","8","0.168%","0.110%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"ALIANZA PARA EL PROGRESO","269","5.641%","3.705%","SAN MARTIN","LAMAS","ALONSO DE ALVARADO"
"PARTIDO NACIONALISTA PERUANO","272","13.159%","8.318%","SAN MARTIN","LAMAS","BARRANQUITA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","13","0.629%","0.398%","SAN MARTIN","LAMAS","BARRANQUITA"
"PARTIDO MORADO","27","1.306%","0.826%","SAN MARTIN","LAMAS","BARRANQUITA"
"PERU PATRIA SEGURA","9","0.435%","0.275%","SAN MARTIN","LAMAS","BARRANQUITA"
"VICTORIA NACIONAL","168","8.128%","5.138%","SAN MARTIN","LAMAS","BARRANQUITA"
"ACCION POPULAR","197","9.531%","6.024%","SAN MARTIN","LAMAS","BARRANQUITA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","41","1.984%","1.254%","SAN MARTIN","LAMAS","BARRANQUITA"
"PODEMOS PERU","35","1.693%","1.070%","SAN MARTIN","LAMAS","BARRANQUITA"
"JUNTOS POR EL PERU","332","16.062%","10.153%","SAN MARTIN","LAMAS","BARRANQUITA"
"PARTIDO POPULAR CRISTIANO - PPC","8","0.387%","0.245%","SAN MARTIN","LAMAS","BARRANQUITA"
"FUERZA POPULAR","299","14.465%","9.144%","SAN MARTIN","LAMAS","BARRANQUITA"
"UNION POR EL PERU","30","1.451%","0.917%","SAN MARTIN","LAMAS","BARRANQUITA"
"RENOVACION POPULAR","57","2.758%","1.743%","SAN MARTIN","LAMAS","BARRANQUITA"
"RENACIMIENTO UNIDO NACIONAL","14","0.677%","0.428%","SAN MARTIN","LAMAS","BARRANQUITA"
"PARTIDO DEMOCRATICO SOMOS PERU","81","3.919%","2.477%","SAN MARTIN","LAMAS","BARRANQUITA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","200","9.676%","6.116%","SAN MARTIN","LAMAS","BARRANQUITA"
"DEMOCRACIA DIRECTA","3","0.145%","0.092%","SAN MARTIN","LAMAS","BARRANQUITA"
"ALIANZA PARA EL PROGRESO","281","13.595%","8.593%","SAN MARTIN","LAMAS","BARRANQUITA"
"PARTIDO NACIONALISTA PERUANO","218","7.711%","4.981%","SAN MARTIN","LAMAS","CAYNARACHI"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","23","0.814%","0.525%","SAN MARTIN","LAMAS","CAYNARACHI"
"PARTIDO MORADO","30","1.061%","0.685%","SAN MARTIN","LAMAS","CAYNARACHI"
"PERU PATRIA SEGURA","8","0.283%","0.183%","SAN MARTIN","LAMAS","CAYNARACHI"
"VICTORIA NACIONAL","147","5.200%","3.358%","SAN MARTIN","LAMAS","CAYNARACHI"
"ACCION POPULAR","251","8.879%","5.735%","SAN MARTIN","LAMAS","CAYNARACHI"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","61","2.158%","1.394%","SAN MARTIN","LAMAS","CAYNARACHI"
"PODEMOS PERU","74","2.618%","1.691%","SAN MARTIN","LAMAS","CAYNARACHI"
"JUNTOS POR EL PERU","161","5.695%","3.678%","SAN MARTIN","LAMAS","CAYNARACHI"
"PARTIDO POPULAR CRISTIANO - PPC","7","0.248%","0.160%","SAN MARTIN","LAMAS","CAYNARACHI"
"FUERZA POPULAR","662","23.417%","15.125%","SAN MARTIN","LAMAS","CAYNARACHI"
"UNION POR EL PERU","34","1.203%","0.777%","SAN MARTIN","LAMAS","CAYNARACHI"
"RENOVACION POPULAR","118","4.174%","2.696%","SAN MARTIN","LAMAS","CAYNARACHI"
"RENACIMIENTO UNIDO NACIONAL","18","0.637%","0.411%","SAN MARTIN","LAMAS","CAYNARACHI"
"PARTIDO DEMOCRATICO SOMOS PERU","151","5.341%","3.450%","SAN MARTIN","LAMAS","CAYNARACHI"
"PARTIDO POLITICO NACIONAL PERU LIBRE","479","16.944%","10.944%","SAN MARTIN","LAMAS","CAYNARACHI"
"DEMOCRACIA DIRECTA","3","0.106%","0.069%","SAN MARTIN","LAMAS","CAYNARACHI"
"ALIANZA PARA EL PROGRESO","382","13.513%","8.727%","SAN MARTIN","LAMAS","CAYNARACHI"
"PARTIDO NACIONALISTA PERUANO","201","12.174%","7.929%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","8","0.485%","0.316%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"PARTIDO MORADO","15","0.909%","0.592%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"PERU PATRIA SEGURA","4","0.242%","0.158%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"VICTORIA NACIONAL","98","5.936%","3.866%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"ACCION POPULAR","175","10.600%","6.903%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","64","3.876%","2.525%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"PODEMOS PERU","54","3.271%","2.130%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"JUNTOS POR EL PERU","60","3.634%","2.367%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"PARTIDO POPULAR CRISTIANO - PPC","6","0.363%","0.237%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"FUERZA POPULAR","393","23.804%","15.503%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"UNION POR EL PERU","13","0.787%","0.513%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"RENOVACION POPULAR","62","3.755%","2.446%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"RENACIMIENTO UNIDO NACIONAL","10","0.606%","0.394%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"PARTIDO DEMOCRATICO SOMOS PERU","31","1.878%","1.223%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"PARTIDO POLITICO NACIONAL PERU LIBRE","236","14.294%","9.310%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"DEMOCRACIA DIRECTA","6","0.363%","0.237%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"ALIANZA PARA EL PROGRESO","215","13.022%","8.481%","SAN MARTIN","LAMAS","CUÑUMBUQUI"
"PARTIDO NACIONALISTA PERUANO","272","5.015%","3.054%","SAN MARTIN","LAMAS","LAMAS"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","21","0.387%","0.236%","SAN MARTIN","LAMAS","LAMAS"
"PARTIDO MORADO","79","1.456%","0.887%","SAN MARTIN","LAMAS","LAMAS"
"PERU PATRIA SEGURA","10","0.184%","0.112%","SAN MARTIN","LAMAS","LAMAS"
"VICTORIA NACIONAL","402","7.412%","4.513%","SAN MARTIN","LAMAS","LAMAS"
"ACCION POPULAR","685","12.629%","7.691%","SAN MARTIN","LAMAS","LAMAS"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","329","6.066%","3.694%","SAN MARTIN","LAMAS","LAMAS"
"PODEMOS PERU","202","3.724%","2.268%","SAN MARTIN","LAMAS","LAMAS"
"JUNTOS POR EL PERU","600","11.062%","6.736%","SAN MARTIN","LAMAS","LAMAS"
"PARTIDO POPULAR CRISTIANO - PPC","49","0.903%","0.550%","SAN MARTIN","LAMAS","LAMAS"
"FUERZA POPULAR","830","15.302%","9.319%","SAN MARTIN","LAMAS","LAMAS"
"UNION POR EL PERU","53","0.977%","0.595%","SAN MARTIN","LAMAS","LAMAS"
"RENOVACION POPULAR","320","5.900%","3.593%","SAN MARTIN","LAMAS","LAMAS"
"RENACIMIENTO UNIDO NACIONAL","19","0.350%","0.213%","SAN MARTIN","LAMAS","LAMAS"
"PARTIDO DEMOCRATICO SOMOS PERU","111","2.046%","1.246%","SAN MARTIN","LAMAS","LAMAS"
"PARTIDO POLITICO NACIONAL PERU LIBRE","445","8.204%","4.996%","SAN MARTIN","LAMAS","LAMAS"
"DEMOCRACIA DIRECTA","9","0.166%","0.101%","SAN MARTIN","LAMAS","LAMAS"
"ALIANZA PARA EL PROGRESO","988","18.215%","11.092%","SAN MARTIN","LAMAS","LAMAS"
"PARTIDO NACIONALISTA PERUANO","212","9.323%","5.267%","SAN MARTIN","LAMAS","PINTO RECODO"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","7","0.308%","0.174%","SAN MARTIN","LAMAS","PINTO RECODO"
"PARTIDO MORADO","10","0.440%","0.248%","SAN MARTIN","LAMAS","PINTO RECODO"
"PERU PATRIA SEGURA","6","0.264%","0.149%","SAN MARTIN","LAMAS","PINTO RECODO"
"VICTORIA NACIONAL","189","8.311%","4.696%","SAN MARTIN","LAMAS","PINTO RECODO"
"ACCION POPULAR","199","8.751%","4.944%","SAN MARTIN","LAMAS","PINTO RECODO"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","79","3.474%","1.963%","SAN MARTIN","LAMAS","PINTO RECODO"
"PODEMOS PERU","48","2.111%","1.193%","SAN MARTIN","LAMAS","PINTO RECODO"
"JUNTOS POR EL PERU","148","6.508%","3.677%","SAN MARTIN","LAMAS","PINTO RECODO"
"PARTIDO POPULAR CRISTIANO - PPC","6","0.264%","0.149%","SAN MARTIN","LAMAS","PINTO RECODO"
"FUERZA POPULAR","418","18.382%","10.385%","SAN MARTIN","LAMAS","PINTO RECODO"
"UNION POR EL PERU","58","2.551%","1.441%","SAN MARTIN","LAMAS","PINTO RECODO"
"RENOVACION POPULAR","235","10.334%","5.839%","SAN MARTIN","LAMAS","PINTO RECODO"
"RENACIMIENTO UNIDO NACIONAL","16","0.704%","0.398%","SAN MARTIN","LAMAS","PINTO RECODO"
"PARTIDO DEMOCRATICO SOMOS PERU","36","1.583%","0.894%","SAN MARTIN","LAMAS","PINTO RECODO"
"PARTIDO POLITICO NACIONAL PERU LIBRE","411","18.074%","10.211%","SAN MARTIN","LAMAS","PINTO RECODO"
"DEMOCRACIA DIRECTA","3","0.132%","0.075%","SAN MARTIN","LAMAS","PINTO RECODO"
"ALIANZA PARA EL PROGRESO","193","8.487%","4.795%","SAN MARTIN","LAMAS","PINTO RECODO"
"PARTIDO NACIONALISTA PERUANO","138","12.031%","6.188%","SAN MARTIN","LAMAS","RUMISAPA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","6","0.523%","0.269%","SAN MARTIN","LAMAS","RUMISAPA"
"PARTIDO MORADO","15","1.308%","0.673%","SAN MARTIN","LAMAS","RUMISAPA"
"PERU PATRIA SEGURA","0","0.000%","0.000%","SAN MARTIN","LAMAS","RUMISAPA"
"VICTORIA NACIONAL","83","7.236%","3.722%","SAN MARTIN","LAMAS","RUMISAPA"
"ACCION POPULAR","184","16.042%","8.251%","SAN MARTIN","LAMAS","RUMISAPA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","37","3.226%","1.659%","SAN MARTIN","LAMAS","RUMISAPA"
"PODEMOS PERU","41","3.575%","1.839%","SAN MARTIN","LAMAS","RUMISAPA"
"JUNTOS POR EL PERU","64","5.580%","2.870%","SAN MARTIN","LAMAS","RUMISAPA"
"PARTIDO POPULAR CRISTIANO - PPC","7","0.610%","0.314%","SAN MARTIN","LAMAS","RUMISAPA"
"FUERZA POPULAR","196","17.088%","8.789%","SAN MARTIN","LAMAS","RUMISAPA"
"UNION POR EL PERU","17","1.482%","0.762%","SAN MARTIN","LAMAS","RUMISAPA"
"RENOVACION POPULAR","57","4.969%","2.556%","SAN MARTIN","LAMAS","RUMISAPA"
"RENACIMIENTO UNIDO NACIONAL","5","0.436%","0.224%","SAN MARTIN","LAMAS","RUMISAPA"
"PARTIDO DEMOCRATICO SOMOS PERU","20","1.744%","0.897%","SAN MARTIN","LAMAS","RUMISAPA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","92","8.021%","4.126%","SAN MARTIN","LAMAS","RUMISAPA"
"DEMOCRACIA DIRECTA","2","0.174%","0.090%","SAN MARTIN","LAMAS","RUMISAPA"
"ALIANZA PARA EL PROGRESO","183","15.955%","8.206%","SAN MARTIN","LAMAS","RUMISAPA"
"PARTIDO NACIONALISTA PERUANO","71","12.116%","6.402%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","2","0.341%","0.180%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"PARTIDO MORADO","8","1.365%","0.721%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"PERU PATRIA SEGURA","1","0.171%","0.090%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"VICTORIA NACIONAL","42","7.167%","3.787%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"ACCION POPULAR","78","13.311%","7.033%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","14","2.389%","1.262%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"PODEMOS PERU","24","4.096%","2.164%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"JUNTOS POR EL PERU","104","17.747%","9.378%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"PARTIDO POPULAR CRISTIANO - PPC","7","1.195%","0.631%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"FUERZA POPULAR","66","11.263%","5.951%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"UNION POR EL PERU","18","3.072%","1.623%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"RENOVACION POPULAR","19","3.242%","1.713%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"RENACIMIENTO UNIDO NACIONAL","3","0.512%","0.271%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"PARTIDO DEMOCRATICO SOMOS PERU","21","3.584%","1.894%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"PARTIDO POLITICO NACIONAL PERU LIBRE","48","8.191%","4.328%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"DEMOCRACIA DIRECTA","0","0.000%","0.000%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"ALIANZA PARA EL PROGRESO","60","10.239%","5.410%","SAN MARTIN","LAMAS","SAN ROQUE DE CUMBAZA"
"PARTIDO NACIONALISTA PERUANO","124","12.412%","7.416%","SAN MARTIN","LAMAS","SHANAO"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","1","0.100%","0.060%","SAN MARTIN","LAMAS","SHANAO"
"PARTIDO MORADO","9","0.901%","0.538%","SAN MARTIN","LAMAS","SHANAO"
"PERU PATRIA SEGURA","0","0.000%","0.000%","SAN MARTIN","LAMAS","SHANAO"
"VICTORIA NACIONAL","120","12.012%","7.177%","SAN MARTIN","LAMAS","SHANAO"
"ACCION POPULAR","69","6.907%","4.127%","SAN MARTIN","LAMAS","SHANAO"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","33","3.303%","1.974%","SAN MARTIN","LAMAS","SHANAO"
"PODEMOS PERU","27","2.703%","1.615%","SAN MARTIN","LAMAS","SHANAO"
"JUNTOS POR EL PERU","70","7.007%","4.187%","SAN MARTIN","LAMAS","SHANAO"
"PARTIDO POPULAR CRISTIANO - PPC","3","0.300%","0.179%","SAN MARTIN","LAMAS","SHANAO"
"FUERZA POPULAR","172","17.217%","10.287%","SAN MARTIN","LAMAS","SHANAO"
"UNION POR EL PERU","35","3.504%","2.093%","SAN MARTIN","LAMAS","SHANAO"
"RENOVACION POPULAR","49","4.905%","2.931%","SAN MARTIN","LAMAS","SHANAO"
"RENACIMIENTO UNIDO NACIONAL","3","0.300%","0.179%","SAN MARTIN","LAMAS","SHANAO"
"PARTIDO DEMOCRATICO SOMOS PERU","4","0.400%","0.239%","SAN MARTIN","LAMAS","SHANAO"
"PARTIDO POLITICO NACIONAL PERU LIBRE","37","3.704%","2.213%","SAN MARTIN","LAMAS","SHANAO"
"DEMOCRACIA DIRECTA","2","0.200%","0.120%","SAN MARTIN","LAMAS","SHANAO"
"ALIANZA PARA EL PROGRESO","241","24.124%","14.414%","SAN MARTIN","LAMAS","SHANAO"
"PARTIDO NACIONALISTA PERUANO","533","14.012%","7.575%","SAN MARTIN","LAMAS","TABALOSOS"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","21","0.552%","0.298%","SAN MARTIN","LAMAS","TABALOSOS"
"PARTIDO MORADO","24","0.631%","0.341%","SAN MARTIN","LAMAS","TABALOSOS"
"PERU PATRIA SEGURA","20","0.526%","0.284%","SAN MARTIN","LAMAS","TABALOSOS"
"VICTORIA NACIONAL","231","6.073%","3.283%","SAN MARTIN","LAMAS","TABALOSOS"
"ACCION POPULAR","379","9.963%","5.387%","SAN MARTIN","LAMAS","TABALOSOS"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","88","2.313%","1.251%","SAN MARTIN","LAMAS","TABALOSOS"
"PODEMOS PERU","129","3.391%","1.833%","SAN MARTIN","LAMAS","TABALOSOS"
"JUNTOS POR EL PERU","282","7.413%","4.008%","SAN MARTIN","LAMAS","TABALOSOS"
"PARTIDO POPULAR CRISTIANO - PPC","13","0.342%","0.185%","SAN MARTIN","LAMAS","TABALOSOS"
"FUERZA POPULAR","813","21.372%","11.555%","SAN MARTIN","LAMAS","TABALOSOS"
"UNION POR EL PERU","45","1.183%","0.640%","SAN MARTIN","LAMAS","TABALOSOS"
"RENOVACION POPULAR","145","3.812%","2.061%","SAN MARTIN","LAMAS","TABALOSOS"
"RENACIMIENTO UNIDO NACIONAL","20","0.526%","0.284%","SAN MARTIN","LAMAS","TABALOSOS"
"PARTIDO DEMOCRATICO SOMOS PERU","115","3.023%","1.634%","SAN MARTIN","LAMAS","TABALOSOS"
"PARTIDO POLITICO NACIONAL PERU LIBRE","397","10.436%","5.642%","SAN MARTIN","LAMAS","TABALOSOS"
"DEMOCRACIA DIRECTA","6","0.158%","0.085%","SAN MARTIN","LAMAS","TABALOSOS"
"ALIANZA PARA EL PROGRESO","543","14.274%","7.717%","SAN MARTIN","LAMAS","TABALOSOS"
"PARTIDO NACIONALISTA PERUANO","335","15.937%","9.833%","SAN MARTIN","LAMAS","ZAPATERO"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","11","0.523%","0.323%","SAN MARTIN","LAMAS","ZAPATERO"
"PARTIDO MORADO","20","0.951%","0.587%","SAN MARTIN","LAMAS","ZAPATERO"
"PERU PATRIA SEGURA","7","0.333%","0.205%","SAN MARTIN","LAMAS","ZAPATERO"
"VICTORIA NACIONAL","123","5.852%","3.610%","SAN MARTIN","LAMAS","ZAPATERO"
"ACCION POPULAR","207","9.848%","6.076%","SAN MARTIN","LAMAS","ZAPATERO"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","41","1.951%","1.203%","SAN MARTIN","LAMAS","ZAPATERO"
"PODEMOS PERU","57","2.712%","1.673%","SAN MARTIN","LAMAS","ZAPATERO"
"JUNTOS POR EL PERU","98","4.662%","2.876%","SAN MARTIN","LAMAS","ZAPATERO"
"PARTIDO POPULAR CRISTIANO - PPC","5","0.238%","0.147%","SAN MARTIN","LAMAS","ZAPATERO"
"FUERZA POPULAR","431","20.504%","12.650%","SAN MARTIN","LAMAS","ZAPATERO"
"UNION POR EL PERU","14","0.666%","0.411%","SAN MARTIN","LAMAS","ZAPATERO"
"RENOVACION POPULAR","121","5.756%","3.552%","SAN MARTIN","LAMAS","ZAPATERO"
"RENACIMIENTO UNIDO NACIONAL","12","0.571%","0.352%","SAN MARTIN","LAMAS","ZAPATERO"
"PARTIDO DEMOCRATICO SOMOS PERU","88","4.186%","2.583%","SAN MARTIN","LAMAS","ZAPATERO"
